prompt_idx	score_range	scores	prompt
1	0.484375	2.500000,2.765625,2.593750,2.984375	A vibrant scene of Kenyan golfers at a lush green golf course on a sunny day. The golfers, dressed in casual yet stylish attire, are teeing off with animated expressions, showcasing their enthusiasm for the game. Rolling hills and pristine greens stretch out behind them, creating a picturesque backdrop. In the foreground, a golf buggy and a caddy stand ready, adding to the serene atmosphere. The camera captures the action from a mid-shot angle, focusing on the golfers' dynamic motions as they swing their clubs.
2	0.761719	1.593750,0.957031,1.148438,1.718750	A historical reenactment of the Communist Revolution in Moscow, featuring a bustling crowd of diverse Russian people, including workers, soldiers, and civilians, all united in revolutionary fervor. They are waving red flags and banners with hammer and sickle symbols, marching through the snow-covered streets of early 20th century Moscow. The camera captures the intense emotions on their faces, the cold weather conditions, and the iconic architecture of the city in the background. Wide shots and close-ups convey the scale and passion of the revolution.
3	0.484375	2.843750,3.328125,3.218750,3.281250	A quaint A-frame cottage made of wood and glass, nestled off the coast of Mexico. The cottage sits on a small peninsula surrounded by crystal-clear turquoise waters and sandy beaches. The exterior is crafted from weathered wooden planks and large glass windows, offering panoramic views of the ocean. Palm trees sway gently in the background, and colorful Mexican flowers adorn the front of the cottage. The sun sets in the distance, casting a warm golden glow over the scene. Wide shot, capturing the serene coastal landscape and the charming cottage.
4	0.507812	2.359375,1.851562,2.203125,2.234375	A surreal and dreamlike sequence where thousands of random everyday objects fall from a clear blue sky against a vast open landscape. Objects such as umbrellas, bicycles, books, and toys descend gracefully, creating a chaotic yet harmonious rain of items. The camera captures this magical scene from a bird's-eye view, slowly tilting down to focus on a single object landing softly on the ground. The objects vary in size, shape, and color, adding vibrant detail to the composition. The video maintains a continuous flow of falling objects throughout, emphasizing their natural motion and the serene beauty of the moment.
5	0.125000	2.656250,2.640625,2.562500,2.687500	A man in casual attire reaches for a gaming joystick from a shelf in a well-lit electronics store. He is standing in front of a display filled with various gaming consoles and accessories. The store background includes rows of shelves stocked with electronic gadgets, creating a bustling retail atmosphere. The man's posture is upright, with a focused and excited expression as he selects the joystick. The scene captures a close-up mid-shot, emphasizing the man's interaction with the joystick.
6	1.203125	3.437500,3.437500,2.234375,2.687500	A whimsical, animated scene featuring a fluffy orange tabby cat with green eyes flying gracefully over a vibrant rainbow. The cat's fur flows gently as it soars through the sky, its tail trailing behind. The rainbow arches brightly against a clear blue sky, with colorful clouds scattered in the background. Below the rainbow, a lush green meadow filled with wildflowers adds to the magical atmosphere. The scene is captured in a mid-shot, emphasizing the cat's flight and the beauty of the rainbow.
7	0.468750	3.953125,4.250000,3.781250,4.218750	A young man, full of ambition and determination, stands confidently in a modern office environment. He has a focused and resolute expression, with a slight smile that conveys his strong desire for success. He is dressed in a well-fitted suit, standing upright with his arms crossed, exuding confidence. The background shows a bustling office with colleagues working diligently at their desks, emphasizing the competitive yet supportive atmosphere. Medium shot, static scene.
8	0.265625	2.859375,2.890625,2.656250,2.921875	A group of diverse individuals, including adults and seniors, performing various exercise routines in a park. They are jogging, stretching, lifting weights, and practicing yoga. Each person is engaged in their own activity, showcasing a range of body postures and expressions of concentration and determination. The environment is bright and lively, with green grass, trees, and a clear blue sky visible in the background. The camera captures each individual in a series of medium shots, maintaining a static perspective to highlight the fluid motions of their exercises.
9	0.734375	3.218750,3.953125,3.890625,3.546875	In a deep space environment, a dense meteorite belt stretches across the screen. A sleek, futuristic spaceship glides gracefully through the meteorite field, narrowly avoiding collisions. The spaceship has a streamlined design with glowing blue navigation lights. The meteorites vary in size and shape, casting eerie shadows against the backdrop of a starry night sky. The camera follows the spaceship from a distance, maintaining a wide shot to capture the vastness of space and the perilous journey through the meteorite belt.
10	0.750000	2.296875,3.046875,2.718750,2.796875	A 1-minute video showcasing real Chinese young and beautiful girls singing. The girls have delicate facial features, fair skin, and traditional yet stylish hairstyles. They wear elegant and modern dresses that complement their youthful beauty. The video captures their expressive faces and graceful hand gestures as they sing, conveying emotions through their voices and body language. The background is a well-lit indoor stage with soft lighting and minimalistic decor, focusing attention on the performers. The camera remains stationary, maintaining a medium shot to show the full bodies of the girls as they perform.
11	0.093750	4.031250,4.031250,3.937500,3.937500	A mystical and spiritual scene filled with loving energy emanating from the heavens. The sky is bathed in warm sunlight, casting golden spirals that intertwine with amethyst and emerald spirals. Rose petals gently float down, adding a touch of elegance and beauty. In the foreground, majestic lions and dragons interact peacefully, embodying harmony and strength. The scene is captured in a wide shot, showcasing the expansive and magical atmosphere.
12	0.343750	2.343750,2.546875,2.500000,2.203125	A gingerbread house from the classic fairy tale "Hansel and Gretel," crafted with intricate details such as candy roofs, frosting windows, and colorful icing decorations. The house is surrounded by a snowy forest with tall pine trees and fallen leaves. The scene is illuminated by soft, warm lighting, casting gentle shadows. The camera is handheld, providing a shaky yet immersive perspective as it moves around the gingerbread house, capturing its whimsical charm and inviting atmosphere. Close-up shots showcase the delicious-looking details, while wider angles reveal the enchanting winter setting.
13	0.750000	2.859375,2.109375,2.140625,2.250000	A cute little boy in a bright yellow jumpsuit stands in the center of a vibrant purple background, saying something enthusiastically. The boy has fair skin, curly blonde hair, and a joyful smile on his face. He is standing upright with his arms gesturing as he speaks, adding to his lively and expressive demeanor. The background is a solid, smooth shade of purple, creating a striking contrast with the boy's yellow outfit. The scene is captured in a close-up shot, focusing on the boy's animated facial expressions and gestures.
14	0.812500	3.828125,4.156250,3.343750,3.687500	A steaming hot, juicy hamburger with intricate details. The burger features a perfectly seared beef patty with crispy edges and a pink center, topped with melted cheddar cheese, crisp lettuce, ripe tomato slices, pickles, and a generous layer of special sauce. The toasted sesame seed bun is slightly charred on the outside and soft inside. The burger is presented in a close-up shot, emphasizing the mouthwatering textures and rich colors. The camera focuses on the condensation forming on the bun and the steam rising from the patty, highlighting the freshness and appetizing nature of the burger.
15	0.328125	2.078125,2.406250,2.281250,2.234375	A neon-lit, vibrant clip from N3on's live stream featuring fast-paced action and dynamic camera movements. N3on, a charismatic YouTuber, is seen playing an intense video game with quick reflexes and expressive reactions. The scene includes split-screen views of N3on’s face, his gaming setup, and the game footage. The background has a futuristic, colorful aesthetic with flashing lights and energetic music. Close-up shots focus on N3on's hands on the keyboard and mouse, as well as his facial expressions. The video transitions smoothly between these elements to maintain viewer engagement.
16	0.640625	3.500000,3.734375,3.390625,4.031250	A smooth, continuous panning shot over a scenic countryside landscape, showcasing rolling green hills, vibrant wildflowers, and winding rural roads. The camera pans slowly from left to right, capturing the serene beauty of the environment as the sun sets in the distance, casting a warm golden glow across the scene. The duration of this panning shot should be extended to 4 seconds to fully appreciate the detailed scenery and the changing light conditions. Wide shot.
17	0.328125	2.812500,3.031250,2.984375,2.703125	A leprechaun, with green hat and traditional Irish attire, standing in a lush forest filled with vibrant greenery and glowing mushrooms. The leprechaun has a mischievous grin and is holding a small golden coin, gesturing animatedly as he gives instructions. His attire includes a red vest over a green shirt, brown pants, and black shoes. The forest background is detailed with dappled sunlight filtering through the trees, casting soft shadows. Close-up view focusing on the leprechaun's expressive face and gestures.
18	0.359375	3.625000,3.578125,3.890625,3.937500	A close-up shot of Sonia, an East Asian woman with long wavy hair and expressive eyes, as she gazes intently at a photo frame displaying Raj in his military uniform. The photo frame is placed on a small table in front of her. Sonia's face shows a mix of longing and sadness, emphasizing her emotional connection to Raj. She holds the frame gently with one hand, her fingers lightly touching the glass. The room is softly lit, casting a warm glow around her, with minimal background distractions to focus on her emotions. The scene captures a moment of deep reflection and nostalgia. Medium close-up shot.
19	0.718750	2.968750,3.171875,2.609375,2.453125	Apostle Paul from the Bible walking along a dusty path in ancient Roman times. He is wearing traditional biblical attire, including a tunic and cloak, and carries a walking stick in one hand and a leather-bound scroll in the other. His facial expression conveys determination and wisdom. The background shows a serene countryside with rolling hills and farmland. The scene captures Apostle Paul in mid-stride, with a slight forward lean, emphasizing his journey. Medium shot, static camera.
20	0.468750	3.078125,3.546875,3.265625,3.328125	An 18th century oil painting depicting a regal royal family in formal attire. The king and queen are seated on ornate thrones, adorned with rich fabrics and jewels. The king wears a lavish crown, a flowing robe, and a scepter in hand, exuding power and authority. The queen is elegantly dressed in a voluminous gown with lace and pearls, holding a fan close to her face. They are surrounded by their children standing behind them, each dressed in fine clothing befitting their status. The background showcases a grand palace hall with intricate frescoes and towering columns. The composition is balanced and symmetrical, capturing the solemn and majestic atmosphere of the era. Full-length portrait, static scene.
